bins	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
JFKY01	0.0012290203456505992	0.00010758365712392526	0.006518170947234249	0.006690325828979974	0.0006727601414003188	0.00016425974507710867	0.00013731318868381206	0.2875183892448471	0.2103137244840753	0.0015194534116227524	0.03621996254499123	0.15654730018294902	0.007673422273327163	0.00055607085435679	0.0	0.0	0.00034827590770745493	0.0004964980497064419	0.003054944557493656	0.08344013916818548	0.010119987407500747	0.050885633487556876	0.044732451472488464	0.0	0.0
JFKZ01	0.0031099891776533955	0.00017236533116550133	0.005697844073656476	0.0037228877134475222	0.000478440205987784	0.00020290480708448923	0.0005998959624952229	0.28027569146730885	0.2392996403414647	0.002256536467465761	0.03885741413535291	0.18924264851194347	0.007238204591734398	0.00043437673001722933	0.00012985537087387632	0.0	0.00028655719163020416	0.0003289828409902077	0.0015790137540527703	0.053035581516418843	0.009143478687665057	0.044408231553045296	0.0341336059100094	0.0	0.0
JFLA01	0.0201237412790931	0.002952703499206575	0.019299687031198554	0.020560049447574013	0.008562814228079864	0.00528888635435017	0.006713573065160844	0.11030172022099455	0.15957056708956932	0.002219553603450579	0.09516851745030054	0.10357351623063175	0.042893427697908264	0.004789438049230446	0.0022148044290666	0.0	0.0020872626043570066	0.0017109067879281373	0.004388594578083776	0.12038325581016555	0.023512251776972578	0.09749017175768032	0.10402588231020227	0.0	0.0
JFLB01	0.00894675005353713	0.0013571766720520432	0.006095046402245623	0.008944894144409788	0.0020079641170228824	0.001596588166187406	0.0021781026733630636	0.25602990436196027	0.20737942042318783	0.0016501792096838444	0.0407256357030545	0.1616051396776687	0.007656464971106289	0.0038831955625534633	5.833037217504199e-05	0.0	0.004236346286900992	0.0057590120929078776	0.004527390651785177	0.07070020051651664	0.004470106166611708	0.05060909861331297	0.05025510579059337	0.0021448487796141514	0.0
JFLC01	0.007363463810811854	0.0004206208915848927	0.0019208506219077748	0.003272523528224024	0.0013367393612039615	0.0007180078379977983	0.0010551863121767262	0.25703595324835565	0.22123478584062958	0.002995747044238999	0.032103364078678955	0.1742235522226132	0.008406012035499705	0.0003170950641580066	0.00018668527483169095	0.0004866682451852913	0.0014728324265549917	0.0010023506530632146	0.0030254692225595422	0.0698032012497817	0.004980666989320248	0.048568323644915166	0.04316707162983251	0.0021518634942360774	0.001639854160527388
JFLD01	0.002903897572178977	0.0008052246626939915	0.00577016723273014	0.011840938080641608	0.004300522300912424	0.0006474642521049519	0.0009423394047776914	0.15105738171300181	0.21777113125572295	0.00022359807897418227	0.052068313838729965	0.10230220798192928	0.013636250907798846	0.000172652086533099	0.0008209176951645529	0.0	0.0005372822811302363	0.0007269086721348638	0.003244446426521426	0.14310208905155708	0.010792163690159569	0.10016838610747629	0.08421169371862028	0.0	0.0
JFLE01	0.011257652808630588	0.001108693251648965	0.009403451941038046	0.013347335350680906	0.005155187708441328	0.0029507993119018182	0.001404409889739375	0.23949803993079066	0.17148754742350203	0.013246071195474343	0.07956613394318325	0.20880541450417525	0.028045778058533522	0.002230457819008897	0.0007362660168227606	0.0	0.0012009333744511196	0.0009018972071476398	0.00534543253082406	0.08187914199038987	0.012604967836956657	0.05629904144314295	0.039700461670889205	0.0	0.0
JFLF01	0.003201724117618752	0.0006077232250886943	0.0055709566263151215	0.002734624486823935	0.0005537841007788674	0.0003704531376015846	7.737204613683032e-05	0.24984140372801775	0.2207506800830457	0.0027538079270643025	0.04145611709352535	0.1577929171438134	0.0060855697662659134	0.0006279667571352801	1.622860184494786e-05	0.0	8.170149513467893e-05	1.9022142983433094e-06	0.0021398205499831143	0.0768987251407218	0.005946576469177729	0.045037037753128825	0.0486450524799707	0.0	0.0013568746643515168
JFLG01	0.0023934589389262794	0.0005796828816297914	0.010195093414497744	0.01227080620345265	0.0030365103035272832	0.0006873510681691129	0.0008827476480493517	0.11352722484028901	0.24400822939583672	0.006201537942891564	0.0988615030067638	0.12066402300306009	0.024266041134269088	0.0008650479630600062	0.0002471284489961558	0.0017504885500399686	0.0007121741462036487	0.0006000304818878729	0.003024691190877582	0.11466185111300162	0.019213406069557227	0.11449267061140248	0.07770576944015313	0.0002732556880749505	8.346499705823708e-05
JFLH01	0.004572833833771373	0.0005278727282698448	0.005715374594751218	0.007271449849057904	0.000803296460617428	0.001104393158481671	4.122848507933442e-05	0.27995899752663395	0.224236583838009	0.0	0.047452839103065476	0.15309461909656422	0.00960712804882406	0.0	0.0010753170711681858	0.0	4.274192712333403e-05	0.0	0.0009104374173203772	0.07838470289772796	0.007992916624176916	0.05555268315778957	0.04645133214904787	0.0	0.0
JFLI01	0.00803650559930394	0.0009730268699096725	0.006054952892007038	0.00485694543856452	0.002254189799187438	0.0010821166965722412	0.00042095239113272147	0.2823214404025546	0.18643774045325828	0.0018172683361082815	0.04874913475345295	0.1275226897663367	0.012101879370514641	0.002597432241966579	0.001046610451322679	0.0	0.0019134112371490702	0.0005295583268910266	0.001999837536085546	0.08142108667241597	0.007846244297678662	0.05791366819457	0.05376997493968408	0.0	0.0
