gene_callers_id	detection
231282	DETECTED
231283	DETECTED
231284	DETECTED
231285	DETECTED
231286	DETECTED
231287	DETECTED
231288	DETECTED
231289	DETECTED
231290	DETECTED
231291	DETECTED
231292	DETECTED
231293	DETECTED
231294	DETECTED
231295	DETECTED
231296	DETECTED
231297	DETECTED
231298	DETECTED
231299	DETECTED
231300	DETECTED
231301	DETECTED
231302	DETECTED
231303	DETECTED
231304	DETECTED
231305	DETECTED
231306	DETECTED
231307	DETECTED
231308	DETECTED
231309	DETECTED
231310	DETECTED
231311	DETECTED
231312	DETECTED
231313	DETECTED
231314	DETECTED
231315	DETECTED
231316	DETECTED
231317	DETECTED
231318	DETECTED
231319	DETECTED
231320	DETECTED
231321	DETECTED
231322	DETECTED
231323	DETECTED
231324	DETECTED
231325	DETECTED
231326	DETECTED
231327	DETECTED
231328	DETECTED
231329	DETECTED
231330	DETECTED
231331	DETECTED
231332	DETECTED
231333	DETECTED
231334	DETECTED
231335	DETECTED
231336	DETECTED
231337	DETECTED
231338	DETECTED
231339	DETECTED
231340	DETECTED
231341	DETECTED
231342	DETECTED
231343	DETECTED
231344	DETECTED
231345	DETECTED
231346	DETECTED
231347	DETECTED
231348	DETECTED
231349	DETECTED
231350	DETECTED
231351	DETECTED
231352	DETECTED
231353	DETECTED
231354	DETECTED
231355	DETECTED
231356	DETECTED
231357	DETECTED
231358	DETECTED
231359	DETECTED
231360	DETECTED
231361	DETECTED
231362	DETECTED
231363	DETECTED
231364	DETECTED
231365	DETECTED
231366	DETECTED
231367	DETECTED
231368	DETECTED
231369	DETECTED
231370	DETECTED
231371	DETECTED
231372	DETECTED
231373	DETECTED
231374	DETECTED
231375	DETECTED
231376	DETECTED
231377	NOT DETECTED
231378	NOT DETECTED
231379	NOT DETECTED
231380	NOT DETECTED
231381	NOT DETECTED
231382	DETECTED
231383	NOT DETECTED
231384	NOT DETECTED
231385	NOT DETECTED
231386	NOT DETECTED
231387	NOT DETECTED
231388	NOT DETECTED
231389	NOT DETECTED
231390	NOT DETECTED
231391	DETECTED
231392	NOT DETECTED
231393	DETECTED
231394	DETECTED
231395	NOT DETECTED
231396	DETECTED
231397	DETECTED
231398	DETECTED
231399	DETECTED
231400	DETECTED
231401	DETECTED
231402	DETECTED
231403	DETECTED
231404	DETECTED
231405	DETECTED
231406	DETECTED
231407	DETECTED
231408	DETECTED
231409	DETECTED
231410	DETECTED
231411	DETECTED
231412	DETECTED
231413	DETECTED
231414	DETECTED
231415	DETECTED
231416	DETECTED
231417	DETECTED
231418	DETECTED
231419	DETECTED
231420	DETECTED
231421	DETECTED
231422	DETECTED
231423	DETECTED
231424	NOT DETECTED
231425	DETECTED
231426	DETECTED
231427	DETECTED
231428	DETECTED
231429	DETECTED
231430	DETECTED
231431	DETECTED
231432	DETECTED
231433	DETECTED
231434	DETECTED
231435	DETECTED
231436	DETECTED
231437	DETECTED
231438	DETECTED
231439	DETECTED
231440	DETECTED
231441	DETECTED
231442	DETECTED
231443	DETECTED
231444	DETECTED
231445	DETECTED
231446	DETECTED
231447	DETECTED
231448	DETECTED
231449	DETECTED
231450	DETECTED
231451	DETECTED
231452	DETECTED
231453	DETECTED
231454	DETECTED
231455	DETECTED
231456	DETECTED
231457	DETECTED
231458	DETECTED
231459	DETECTED
231460	DETECTED
231461	DETECTED
231462	DETECTED
231463	DETECTED
231464	DETECTED
231465	DETECTED
231466	DETECTED
231467	DETECTED
231468	DETECTED
231469	DETECTED
231470	DETECTED
231471	DETECTED
231472	DETECTED
231473	DETECTED
231474	DETECTED
231475	DETECTED
231476	DETECTED
231477	DETECTED
231478	DETECTED
231479	DETECTED
231480	DETECTED
231481	DETECTED
231482	DETECTED
231483	DETECTED
231484	DETECTED
231485	DETECTED
231486	DETECTED
231487	DETECTED
231488	DETECTED
231489	DETECTED
231490	DETECTED
231491	DETECTED
231492	DETECTED
231493	DETECTED
231494	DETECTED
231495	DETECTED
231496	DETECTED
231497	DETECTED
231498	DETECTED
231499	DETECTED
231500	DETECTED
231501	DETECTED
231502	DETECTED
231503	DETECTED
231504	DETECTED
231505	DETECTED
231506	DETECTED
231507	DETECTED
231508	DETECTED
231509	DETECTED
231510	DETECTED
231511	DETECTED
231512	DETECTED
231513	DETECTED
231514	DETECTED
231515	DETECTED
231516	DETECTED
231517	DETECTED
231518	DETECTED
231519	DETECTED
231520	DETECTED
231521	DETECTED
231522	DETECTED
231523	DETECTED
231524	DETECTED
231525	DETECTED
231526	DETECTED
231527	DETECTED
231528	DETECTED
231529	DETECTED
231530	DETECTED
231531	DETECTED
231532	DETECTED
231533	DETECTED
231534	DETECTED
231535	DETECTED
231536	DETECTED
231537	DETECTED
231538	DETECTED
231539	DETECTED
231540	DETECTED
231541	DETECTED
231542	DETECTED
231543	DETECTED
231544	DETECTED
231545	DETECTED
231546	DETECTED
231547	DETECTED
231548	DETECTED
231549	DETECTED
231550	DETECTED
231551	DETECTED
231552	DETECTED
231553	DETECTED
231554	DETECTED
231555	DETECTED
231556	DETECTED
231557	DETECTED
231558	DETECTED
231559	DETECTED
231560	DETECTED
231561	DETECTED
231562	DETECTED
231563	DETECTED
231564	DETECTED
231565	DETECTED
231566	DETECTED
231567	DETECTED
231568	DETECTED
231569	DETECTED
231570	DETECTED
231571	DETECTED
231572	DETECTED
231573	DETECTED
231574	DETECTED
231575	DETECTED
231576	DETECTED
231577	DETECTED
231578	DETECTED
231579	DETECTED
231580	DETECTED
231581	DETECTED
231582	DETECTED
231583	DETECTED
231584	DETECTED
231585	DETECTED
231586	DETECTED
231587	DETECTED
231588	DETECTED
231589	DETECTED
231590	DETECTED
231591	DETECTED
231592	DETECTED
231593	DETECTED
231594	DETECTED
231595	DETECTED
231596	DETECTED
231597	DETECTED
231598	DETECTED
231599	DETECTED
231600	DETECTED
231601	DETECTED
231602	DETECTED
231603	DETECTED
231604	DETECTED
231605	DETECTED
231606	DETECTED
231607	DETECTED
231608	DETECTED
231609	DETECTED
231610	DETECTED
231611	DETECTED
231612	DETECTED
231613	DETECTED
231614	DETECTED
231615	DETECTED
231616	DETECTED
231617	DETECTED
231618	DETECTED
231619	DETECTED
231620	DETECTED
231621	DETECTED
231622	DETECTED
231623	DETECTED
231624	DETECTED
231625	DETECTED
231626	DETECTED
231627	DETECTED
231628	DETECTED
231629	DETECTED
231630	DETECTED
231631	DETECTED
231632	DETECTED
231633	DETECTED
231634	DETECTED
231635	DETECTED
231636	DETECTED
231637	DETECTED
231638	DETECTED
231639	DETECTED
231640	DETECTED
231641	DETECTED
231642	DETECTED
231643	DETECTED
231644	DETECTED
231645	DETECTED
231646	DETECTED
231647	DETECTED
231648	DETECTED
231649	DETECTED
231650	DETECTED
231651	DETECTED
231652	DETECTED
231653	DETECTED
231654	DETECTED
231655	DETECTED
231656	DETECTED
231657	DETECTED
231658	DETECTED
231659	DETECTED
231660	DETECTED
231661	DETECTED
231662	DETECTED
231663	DETECTED
231664	DETECTED
231665	DETECTED
231666	DETECTED
231667	DETECTED
231668	DETECTED
231669	DETECTED
231670	DETECTED
231671	DETECTED
231672	DETECTED
231673	DETECTED
231674	DETECTED
231675	DETECTED
231676	DETECTED
231677	DETECTED
231678	DETECTED
231679	DETECTED
231680	DETECTED
231681	DETECTED
231682	DETECTED
231683	DETECTED
231684	DETECTED
231685	DETECTED
231686	DETECTED
231687	DETECTED
231688	DETECTED
231689	DETECTED
231690	DETECTED
231691	DETECTED
231692	DETECTED
231693	DETECTED
231694	DETECTED
231695	DETECTED
231696	DETECTED
231697	DETECTED
231698	DETECTED
231699	DETECTED
231700	DETECTED
231701	DETECTED
231702	DETECTED
231703	DETECTED
231704	DETECTED
231705	DETECTED
231706	DETECTED
231707	DETECTED
231708	DETECTED
231709	DETECTED
231710	DETECTED
231711	DETECTED
231712	DETECTED
231713	DETECTED
231714	DETECTED
231715	DETECTED
231716	DETECTED
231717	DETECTED
231718	DETECTED
231719	DETECTED
231720	DETECTED
231721	DETECTED
231722	DETECTED
231723	DETECTED
231724	DETECTED
231725	DETECTED
231726	DETECTED
231727	DETECTED
